Category,Region,Subject
Famous site,Oceania,Nenumbo
Famous site,Oceania,Teouma
Famous site,Oceania,Nan Madol
Famous site,Oceania,Marae Taputapuātea
Famous site,Oceania,ʻAhu Tongariki
Famous site,Oceania,Haʻamonga ʻa Maui
Famous site,Oceania,Pulemelei Mound
Famous site,Oceania,Marae Mahaiatea
Famous site,Oceania,Tongan Royal Tombs
Famous site,Oceania,Orongo Ceremonial Village
Famous site,Oceania,Rano Raraku Quarry
Famous site,Oceania,Puʻukoholā Heiau
Famous site,Oceania,ʻAhu ʻUmi
Famous site,Oceania,Airai Bai (Men's Meetinghouse of Airai)
Famous site,Oceania,Leluh Ruins
Famous site,Oceania,Sigatoka Burials
Famous site,Oceania,Uluru
Famous site,Oceania,Burrungkuy rock art
Famous site,Oceania,ʻIolani Palace
Famous site,Oceania,Puʻuhonua o Hōnaunau
Famous site,Oceania,Auckland's Sky Tower
Famous site,Oceania,Pearl Harbor
Famous site,Oceania,Mānoa Valley Mission Houses
Famous site,Oceania,Waitangi Treaty Grounds
Famous site,Oceania,Nuku‘alofa Royal Palace
Famous site,Oceania,Tinian atomic bomb assembly pits
Famous site,Oceania,Chuuk Lagoon
Famous site,Oceania,Koror-Babeldaob Bridge
Famous site,Oceania,Kokoda Track
Famous site,Oceania,Sydney Opera House
Famous site,Oceania,Sydney Harbour Bridge
Famous site,Oceania,Uluru–Kata Tjuta National Park
Famous site,Oceania,Great Barrier Reef
Famous site,Oceania,Daintree Rainforest
Famous site,Oceania,Australia's Blue Mountains
Famous site,Oceania,Great Ocean Road and Twelve Apostles
Famous site,Oceania,Kakadu National Park
Famous site,Oceania,Milford Sound
Famous site,Oceania,Mount Cook / Aoraki
Famous site,Oceania,Rotorua Geothermal Area
Famous site,Oceania,Tongariro National Park
Famous site,Oceania,Waitomo Glowworm Caves
Famous site,Oceania,Franz Josef Glacier
Famous site,Oceania,Mount Yasur
Famous site,Oceania,Mount Wilhelm
Famous site,Oceania,Bouma Waterfalls
Famous site,Oceania,Mount Otemanu
Famous site,Oceania,Pitcairn Island Cliffs
Famous site,Oceania,Nan Madol Lagoon
Famous site,Oceania,White Island / Whakaari
Famous site,Africa,Giza Pyramid Complex
Famous site,Africa,Saqqara
Famous site,Africa,Valley of the Kings
Famous site,Africa,Abu Simbel
Famous site,Africa,Meroë
Famous site,Africa,Aksum
Famous site,Africa,Leptis Magna
Famous site,Africa,Kairouan
Famous site,Africa,Tunis Medina
Famous site,Africa,Marrakesh
Famous site,Africa,Kilwa Kisiwani
Famous site,Africa,Lalibela
Famous site,Africa,Chinguetti
Famous site,Africa,Oualata/Walata
Famous site,Africa,Timbuktu
Famous site,Africa,Djenné-Djeno
Famous site,Africa,Koumbi Saleh
